symptom_name;disease_common_name
Muscle Rigidity;brain cancer
Muscle Rigidity;spinal cancer
Muscle Rigidity;mediastinal cancer
Muscle Rigidity;thymus cancer
Muscle Rigidity;ankylosing spondylitis
Muscle Rigidity;asthma
Muscle Rigidity;chronic obstructive pulmonary disease
Muscle Rigidity;multiple sclerosis
Muscle Rigidity;Parkinson's disease
Muscle Rigidity;epilepsy syndrome
Muscle Rigidity;amyotrophic lateral sclerosis
Muscle Rigidity;restless legs syndrome
Muscle Rigidity;chronic kidney failure
Muscle Rigidity;anemia
Muscle Rigidity;systemic lupus erythematosus
Muscle Rigidity;type 1 diabetes mellitus
Muscle Rigidity;hypothyroidism
Muscle Rigidity;bipolar disorder
Muscle Rigidity;endogenous depression
Muscle Rigidity;schizophrenia
Muscle Rigidity;peripheral nervous system neoplasm
Muscle Rigidity;pancreatitis
Muscle Rigidity;intracranial aneurysm
Muscle Rigidity;Creutzfeldt-Jakob disease
Muscle Rigidity;autistic disorder
Muscle Rigidity;narcolepsy
Muscle Weakness;acquired immunodeficiency syndrome
Muscle Weakness;breast cancer
Muscle Weakness;colon cancer
Muscle Weakness;skin cancer
Muscle Weakness;osteoporosis
Muscle Weakness;rheumatoid arthritis
Muscle Weakness;Alzheimer's disease
Muscle Weakness;coronary artery disease
Muscle Weakness;atherosclerosis
Muscle Weakness;hypertension
Muscle Weakness;systemic scleroderma
Muscle Weakness;vitiligo
Muscle Weakness;type 2 diabetes mellitus
Muscle Weakness;metabolic syndrome X
Muscle Weakness;obesity
Muscle Weakness;leprosy
Muscle Weakness;hepatitis B
Muscle Weakness;muscle cancer
Muscle Weakness;malignant glioma
Muscle Weakness;melanoma
Muscle Weakness;retroperitoneal cancer
Muscle Weakness;esophageal cancer
Muscle Weakness;rectum cancer
Muscle Weakness;stomach cancer
Muscle Weakness;liver cancer
Muscle Weakness;pancreatic cancer
Muscle Weakness;ovarian cancer
Muscle Weakness;head and neck cancer
Muscle Weakness;larynx cancer
Muscle Weakness;hematologic cancer
Muscle Weakness;brain cancer
Muscle Weakness;meningioma
Muscle Weakness;spinal cancer
Muscle Weakness;mediastinal cancer
Muscle Weakness;thymus cancer
Muscle Weakness;uterine cancer
Muscle Weakness;prostate cancer
Muscle Weakness;kidney cancer
Muscle Weakness;ankylosing spondylitis
Muscle Weakness;ulcerative colitis
Muscle Weakness;Crohn's disease
Muscle Weakness;asthma
Muscle Weakness;chronic obstructive pulmonary disease
Muscle Weakness;multiple sclerosis
Muscle Weakness;Parkinson's disease
Muscle Weakness;epilepsy syndrome
Muscle Weakness;migraine
Muscle Weakness;amyotrophic lateral sclerosis
Muscle Weakness;restless legs syndrome
Muscle Weakness;Graves' disease
Muscle Weakness;chronic kidney failure
Muscle Weakness;Kawasaki disease
Muscle Weakness;anemia
